,Share,Entry Date,Entry Price,Exit Date,Exit Price,Shares,P/L,P/L%
0,WIPRO,2022-01-05,713.5,2022-05-09,483.15,14.01541695865452,-230.35000000000002,-32.28451296426069
1,JSWSTEEL,2022-01-05,694.5,2022-05-09,678.35,14.398848092152628,-16.149999999999977,-2.325413966882646
2,GRASIM,2022-01-05,1747.05,2022-06-09,1309.1,5.723934632666495,-437.95000000000005,-25.067971723762916
3,TATASTEEL,2022-01-05,1177.6,2022-06-09,1044.85,8.491847826086957,-132.75,-11.272927989130435
4,HINDALCO,2022-01-05,475.35,2022-07-11,356.2,21.037130535394972,-119.15000000000003,-25.065741032923118
5,TECHM,2022-01-05,1737.55,2022-07-11,1007.55,5.755230065321862,-730.0,-42.01317947684959
6,APOLLOHOSP,2022-01-05,4973.25,2022-09-12,4481.6,2.010757552908058,-491.64999999999964,-9.88588950887246
7,BAJAJFINSV,2022-01-05,17988.4,2022-10-12,1694.65,0.5559138111227235,-16293.750000000002,-90.57920659980877
8,ONGC,2022-06-09,165.55,2022-10-12,131.35,53.595331930455785,-34.20000000000002,-20.658411356085786
9,TATAMOTORS,2022-01-05,489.75,2022-11-14,433.7,20.41858090862685,-56.05000000000001,-11.444614599285352
10,ADANIENT,2022-01-05,1715.45,2022-12-14,4055.8,5.82937421667784,2340.3500000000004,136.42775948001983
11,NTPC,2022-05-09,159.0,2022-12-14,171.6,61.43055725353293,12.599999999999994,7.924528301886789
12,TITAN,2022-05-09,2183.2,2022-12-14,2591.1,3.1016621031393967,407.9000000000001,18.683583730304147
13,M&M,2022-06-09,1045.1,2022-12-14,1286.45,7.1698429122798855,241.35000000000014,23.093483877140958
14,ITC,2022-07-11,295.0,2022-12-14,345.4,25.40144371765318,50.39999999999998,17.084745762711854
15,COALINDIA,2022-07-11,193.35,2022-12-14,232.15,29.990597632868074,38.80000000000001,20.067235583139393
16,MARUTI,2022-09-12,8927.65,2022-12-14,8641.6,1.0093822057442612,-286.0499999999993,-3.2040906621563265
17,ICICIBANK,2022-10-12,868.35,2022-12-14,921.75,8.107038462676764,53.39999999999998,6.1495940576956265
18,EICHERMOT,2022-10-12,3458.2,2022-12-14,3369.4,0.27241898676164583,-88.79999999999973,-2.5678098432710583
19,SUNPHARMA,2022-11-14,1016.9,2022-12-14,1000.25,8.708367135481822,-16.649999999999977,-1.6373291375749806
